Sno.	Question (100 words)	Answer (Max 2000 words)	Question Category (Refer Sheet 2)	Applicable to Pathways	Pathway Stage	Source of Data (Preferable URL)	Actual Excerpt from the Source Data	Hospitals Applicable	Date	Author Name	Reviewed By	Expiry Date
2906	Can diet affect the risk of breast cancer coming back?	Yes, diet can affect the risk of breast cancer recurrence. The World Cancer Research Fund recommends eating a healthy diet high in fiber and low in saturated fats, being physically active, maintaining a healthy weight, and limiting alcohol.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	The World Cancer Research Fund (WCRF) recommends that people who have had breast cancer follow advice to reduce their risk of cancer coming back.	All	2025-12-11	Healthcare AI Team		
2907	What are high-fiber foods and why are they important?	High-fiber foods include wholegrains, pulses, starchy foods with skins on, vegetables, and fruits. They are important because they may reduce the risk of breast cancer recurrence, improve digestive health, and help prevent heart disease and some cancers.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	High-fibre foods tend to be lower in calories and can help you feel full for longer. Experts think fibre has many health benefits including improving digestive health and helping prevent heart disease and some cancers.	All	2025-12-11	Healthcare AI Team		
2908	What foods should I limit to reduce the risk of breast cancer recurrence?	You should limit foods high in saturated fat, such as butter, fatty cuts of meat, processed meats, full-fat dairy products, chocolate, biscuits, and cakes. Replace these with healthier fats like olive oil, oily fish, avocado, nuts, and seeds.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	There is some evidence that saturated fat may increase the risk of recurrence, but again further research is needed to find out more.	All	2025-12-11	Healthcare AI Team		
2909	Are soya products safe to eat if I’ve had breast cancer?	Current evidence suggests that a diet containing naturally occurring phytoestrogens, like those found in soya, is safe if you’ve had breast cancer and may be beneficial. However, soya supplements are not recommended due to limited research on their safety.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Current evidence suggests a diet containing naturally occurring phytoestrogens is safe if you’ve had breast cancer and may be beneficial.	All	2025-12-11	Healthcare AI Team		
2910	Do dairy products increase the risk of breast cancer coming back?	No, there is no evidence that dairy products increase the risk of breast cancer recurrence. They can be part of a healthy diet but try to opt for lower-fat options to maintain a healthy weight.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	There is no evidence that dairy products increase the risk of breast cancer coming back.	All	2025-12-11	Healthcare AI Team		
2911	Should I follow a sugar-free diet to reduce the risk of breast cancer recurrence?	No, there’s no evidence that a sugar-free diet will reduce your risk of breast cancer recurrence. You can still eat sugar but in moderation to avoid weight gain.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	There’s no evidence that following a sugar-free diet will reduce your risk of breast cancer recurrence.	All	2025-12-11	Healthcare AI Team		
2912	Are organic foods better for reducing the risk of breast cancer recurrence?	No, no association has been found between eating an organic diet and the risk of breast cancer recurrence.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	No association has been found between eating an organic diet (before or after diagnosis) and the risk of breast cancer recurrence.	All	2025-12-11	Healthcare AI Team		
2913	What is the recommended alcohol intake for someone who’s had breast cancer?	NICE recommends limiting alcohol intake to below 5 units a week for someone who’s had breast cancer.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	NICE (National Institute for Health and Care Excellence) recommends that people who’ve had breast cancer limit their alcohol intake to below 5 units a week.	All	2025-12-11	Healthcare AI Team		
2914	Are special cancer diets effective in reducing the risk of breast cancer recurrence?	No, there’s no conclusive evidence that special cancer diets reduce the risk of breast cancer recurrence. These diets can be restrictive, expensive, and may lead to nutrient deficiencies.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	There’s no conclusive evidence that special cancer diets like these reduce the risk of breast cancer recurrence.	All	2025-12-11	Healthcare AI Team		
2915	Is there a special diet recommended for people with secondary breast cancer?	No, there’s no scientific evidence that people with secondary breast cancer should follow a special diet. A healthy, balanced diet can help give you energy and improve your mood.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	There’s no scientific evidence that people with secondary breast cancer should follow a special diet, or that a particular diet can make a difference to your outlook (prognosis).	All	2025-12-11	Healthcare AI Team		
2916	Where can I find more information about diet and breast cancer?	You can find more information on the Breast Cancer Now website, NHS website, and by contacting organizations like the British Dietetic Association, British Nutrition Foundation, and World Cancer Research Fund.	RESOURCES	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	You can find more information about physical activity and breast cancer on our website.	All	2025-12-11	Healthcare AI Team		
2917	Can I get support for weight management from my GP?	Yes, your GP can recommend and refer you to local support services for weight management, including dietitians and free NHS weight loss plans.	RESOURCES	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Your GP can also recommend and refer you to local support services.	All	2025-12-11	Healthcare AI Team		
2918	What should I do if I’m experiencing appetite and taste changes during treatment?	If you’re experiencing appetite and taste changes, talk to your treatment team or ask to speak to a dietitian for specialist advice on managing these symptoms.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	If you need help, you can talk to your treatment team, or ask to speak to a dietitian for specialist advice.	All	2025-12-11	Healthcare AI Team		
2919	Are there any cookbooks recommended for people with a cancer diagnosis?	Yes, The Royal Marsden Cancer Cookbook and The Life Kitchen cookbook are recommended for people with a cancer diagnosis. They offer healthy and tasty recipes for during and after treatment.	RESOURCES	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	The Royal Marsden Cancer Cookbook contains over 150 healthy and tasty recipes for people with a cancer diagnosis.	All	2025-12-11	Healthcare AI Team		
2920	What organizations can provide additional support and information for people affected by cancer?	Organizations like the British Dietetic Association, British Nutrition Foundation, NHS Livewell, Penny Brohn UK, and the Royal Osteoporosis Society offer support and information for people affected by cancer.	RESOURCES	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	"Useful organisations
British Dietetic Association (BDA) 
bda.uk.com"	All	2025-12-11	Healthcare AI Team		
2921	What is the role of diet in breast cancer prevention?	Diet plays a significant role in breast cancer prevention. Consuming a balanced diet rich in fruits, vegetables, whole grains, and lean proteins can help reduce the risk of breast cancer. Limiting the intake of processed foods, red meats, and alcohol is also recommended. A healthy diet can contribute to maintaining a healthy weight, which is a crucial factor in reducing breast cancer risk.	LIFESTYLE	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2922	Can specific foods help reduce the risk of breast cancer recurrence?	Certain foods may help reduce the risk of breast cancer recurrence. Foods rich in antioxidants, such as berries, nuts, and green leafy vegetables, can be beneficial. Omega-3 fatty acids found in fish like salmon and flaxseeds may also have protective effects. It is important to maintain a varied and balanced diet to support overall health and potentially reduce recurrence risk.	LIFESTYLE	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2923	Is it safe to consume soy products if I have breast cancer?	Yes, it is generally safe to consume soy products if you have breast cancer. Soy contains isoflavones, which have both estrogen-like and anti-estrogenic effects. Moderate consumption of soy has not been shown to increase the risk of breast cancer recurrence. However, it is advisable to discuss soy intake with your healthcare provider to ensure it aligns with your specific treatment plan.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2924	How can I manage weight gain during breast cancer treatment?	Managing weight gain during breast cancer treatment involves a combination of a balanced diet and regular physical activity. Focus on eating nutrient-dense foods and avoid excessive calorie intake. Engage in moderate exercise, such as walking or yoga, as tolerated. Consulting a dietitian can provide personalized advice to help manage weight effectively during treatment.	LIFESTYLE	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2925	What should I eat to boost my energy during breast cancer treatment?	To boost energy during breast cancer treatment, focus on eating a variety of nutrient-rich foods. Include complex carbohydrates like whole grains, proteins from lean meats, beans, and legumes, and healthy fats from sources like avocados and nuts. Staying hydrated and eating small, frequent meals can also help maintain energy levels.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2926	Are there any dietary restrictions I should follow after breast cancer surgery?	After breast cancer surgery, there are generally no strict dietary restrictions. However, it is important to eat a balanced diet to support healing and recovery. Focus on consuming plenty of fruits, vegetables, lean proteins, and whole grains. Stay hydrated and avoid excessive alcohol and processed foods. Always follow any specific dietary advice provided by your healthcare team.	POST_SURGERY_RECOVERY	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2927	Can a plant-based diet help in breast cancer recovery?	A plant-based diet can be beneficial for breast cancer recovery. It emphasizes fruits, vegetables, whole grains, legumes, nuts, and seeds, which are rich in vitamins, minerals, and antioxidants. These nutrients can support the immune system and overall health. However, ensure the diet is balanced and provides all necessary nutrients, possibly with the guidance of a dietitian.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2928	What role does hydration play in breast cancer treatment?	Hydration plays a crucial role in breast cancer treatment. Adequate fluid intake helps maintain bodily functions, aids in the metabolism of medications, and supports overall health. It is especially important during treatment to prevent dehydration, which can exacerbate side effects like fatigue and constipation. Aim to drink plenty of water throughout the day.	LIFESTYLE	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2929	How can I deal with taste changes during breast cancer treatment?	Taste changes during breast cancer treatment can be managed by experimenting with different flavors and textures. Use herbs and spices to enhance the taste of foods. Cold foods may taste better than hot ones. Staying hydrated and maintaining good oral hygiene can also help. If taste changes persist, consult your healthcare provider for further advice.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2930	What should I do if I experience nausea during breast cancer treatment?	If you experience nausea during breast cancer treatment, try eating small, frequent meals rather than large ones. Ginger, either as a tea or in small amounts in food, can help alleviate nausea. Avoid strong smells and opt for bland, easy-to-digest foods. If nausea persists, speak to your healthcare provider about anti-nausea medications.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2931	Is it important to take supplements during breast cancer treatment?	While a balanced diet should provide most of the necessary nutrients, some people may benefit from supplements during breast cancer treatment. However, it is crucial to consult with your healthcare provider before starting any supplements, as some can interact with treatments or have adverse effects. Your provider can recommend appropriate supplements if needed.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2932	How can I support my immune system through diet during breast cancer treatment?	Supporting your immune system through diet during breast cancer treatment involves eating a variety of nutrient-rich foods. Include plenty of fruits and vegetables for vitamins and antioxidants, lean proteins for immune function, and whole grains for fiber. Probiotic-rich foods like yogurt can also support gut health, which is linked to immune function.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2933	What should I know about alcohol consumption during breast cancer treatment?	It is generally recommended to limit or avoid alcohol during breast cancer treatment. Alcohol can interfere with the effectiveness of certain treatments and may increase the risk of side effects. Additionally, alcohol consumption has been linked to a higher risk of breast cancer recurrence. Always discuss alcohol intake with your healthcare provider.	LIFESTYLE	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2934	Can diet affect the side effects of breast cancer medications?	Yes, diet can affect the side effects of breast cancer medications. For example, a high-fiber diet can help mitigate constipation caused by certain medications. Staying hydrated can reduce the risk of kidney-related side effects. It is important to maintain a balanced diet and discuss any concerns about medication side effects with your healthcare provider.	MEDICATION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2935	How can I maintain a healthy diet if I have difficulty eating during treatment?	If you have difficulty eating during breast cancer treatment, try eating small, frequent meals throughout the day. Choose nutrient-dense foods that are easy to eat, such as smoothies, soups, and soft foods. Staying hydrated is also important. If needed, consult a dietitian for personalized advice and meal plans that suit your appetite and dietary needs.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2936	What are the benefits of a Mediterranean diet for breast cancer patients?	The Mediterranean diet, rich in fruits, vegetables, whole grains, lean proteins, and healthy fats like olive oil, has been associated with numerous health benefits for breast cancer patients. It can help reduce inflammation, support heart health, and may lower the risk of breast cancer recurrence. This diet emphasizes a balanced and varied intake of nutrients.	NUTRITION	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2937	How can I get support for dietary changes during breast cancer treatment?	You can get support for dietary changes during breast cancer treatment by consulting a registered dietitian who specializes in oncology nutrition. They can provide personalized advice and meal plans. Additionally, support groups and resources from organizations like Breast Cancer Now can offer guidance and community support.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	If you have any questions about diet and breast cancer, we’re here for you. You can speak to our specialist nurses on our free helpline 0808 800 6000 or through our website.	All	2025-12-11	Healthcare AI Team		
2938	What should I eat to help with chemotherapy-induced mouth sores?	To help with chemotherapy-induced mouth sores, choose soft, bland foods that are easy to eat and gentle on the mouth. Examples include yogurt, mashed potatoes, scrambled eggs, and smoothies. Avoid spicy, acidic, and crunchy foods that can irritate the sores. Staying hydrated is also important.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2939	How can I manage diarrhea caused by breast cancer treatment?	To manage diarrhea caused by breast cancer treatment, focus on a diet that includes easily digestible foods like bananas, rice, applesauce, and toast (BRAT diet). Avoid dairy, fatty foods, and caffeine, which can worsen diarrhea. Stay hydrated with clear fluids and consult your healthcare provider for medications if needed.	SIDE_EFFECTS	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	Diet and breast cancer was written by Breast Cancer Now’s clinical specialists, and reviewed by healthcare professionals and people affected by breast cancer.	All	2025-12-11	Healthcare AI Team		
2940	What resources are available for more information on diet and breast cancer?	For more information on diet and breast cancer, you can visit the Breast Cancer Now website at breastcancernow.org. They offer a wealth of resources, including leaflets, helpline support, and access to specialist nurses. Additionally, you can email health-info@breastcancernow.org for specific inquiries or to request publications.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcc98-diet-and-breast-cancer-web.pdf	You can order or download more copies from breastcancernow.org/publications	All	2025-12-11	Healthcare AI Team		
2941	What are the common symptoms of breast cancer I should look out for?	Common symptoms of breast cancer include a lump or swelling in the breast, upper chest, or armpit; changes to the skin such as puckering or dimpling; changes in the color of the breast, which may look darker, red, or inflamed; nipple changes like inversion; rash or crusting around the nipple; unusual discharge from the nipple; and changes in the size or shape of the breast. Persistent pain in the breast or armpit may also be a symptom.	SYMPTOMS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	A lump or swelling in the breast, upper chest or armpit... Changes in size or shape of the breast... On its own pain in your breasts is not usually a sign of cancer. But look out for pain in your breast or armpit that’s there all or almost all the time.	All	2025-12-11	Healthcare AI Team		
2942	How often should I check my breasts for changes?	You should check your breasts regularly, ideally once a month. This helps you become familiar with the normal look and feel of your breasts, making it easier to notice any changes that may occur.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	No matter what size or shape your breasts are, check them regularly.	All	2025-12-11	Healthcare AI Team		
2943	What should I do if I notice a change in my breast?	If you notice any changes in your breast, such as a lump, skin changes, nipple inversion, or unusual discharge, you should check these changes with your GP as soon as possible. Early detection is crucial for effective treatment.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	Check anything that looks or feels different for you with a GP.	All	2025-12-11	Healthcare AI Team		
2944	Can breast cancer symptoms appear differently on various skin tones?	Yes, breast cancer symptoms can appear differently on various skin tones. It's important to be aware of this and look for any changes that are unusual for you, regardless of your skin tone.	SYMPTOMS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	Signs and symptoms may appear differently on various skin tones.	All	2025-12-11	Healthcare AI Team		
2945	Is breast pain alone a sign of breast cancer?	On its own, breast pain is usually not a sign of cancer. However, you should be cautious of persistent pain in your breast or armpit that is present all or almost all the time, as this could be a symptom.	SYMPTOMS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	On its own pain in your breasts is not usually a sign of cancer. But look out for pain in your breast or armpit that’s there all or almost all the time.	All	2025-12-11	Healthcare AI Team		
2946	What is the importance of checking my armpits and upper chest for changes?	Checking your armpits and upper chest for changes is important because breast tissue extends into these areas, and symptoms of breast cancer can appear here. Regular checks help ensure that any changes are detected early.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	Check all parts of your breasts, your armpits and up to your collarbone (upper chest) for changes.	All	2025-12-11	Healthcare AI Team		
2947	What are the first steps I should take if I find a lump in my breast?	If you find a lump in your breast, the first step is to make an appointment with your GP. They will evaluate the lump and may recommend further tests, such as a mammogram or biopsy, to determine if it is cancerous.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	Check anything that looks or feels different for you with a GP.	All	2025-12-11	Healthcare AI Team		
2948	How can I perform a breast self-examination effectively?	To perform a breast self-examination effectively, use the Touch Look Check method: Touch your breasts to feel for any lumps or changes, Look for visible changes such as dimpling or redness, and Check any changes with your GP. Regular self-examinations help you become familiar with your breasts and notice any abnormalities early.	DIAGNOSIS_TESTING	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	TOUCH YOUR BREASTS LOOK FOR CHANGES CHECK ANY CHANGES WITH YOUR GP	All	2025-12-11	Healthcare AI Team		
2949	What are the potential side effects of breast cancer treatment?	The potential side effects of breast cancer treatment can vary depending on the type of treatment. Common side effects include fatigue, nausea, hair loss, changes in appetite, and emotional distress. Some treatments may also cause long-term effects such as lymphedema or heart problems.	SIDE_EFFECTS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common breast cancer treatments.	All	2025-12-11	Healthcare AI Team		
2950	How can I manage the emotional impact of a breast cancer diagnosis?	Managing the emotional impact of a breast cancer diagnosis involves seeking support from friends, family, or support groups. Professional counseling or therapy can also be beneficial. It's important to express your feelings and not hesitate to ask for help when needed.	EMOTIONAL_SUPPORT	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on managing emotional impact.	All	2025-12-11	Healthcare AI Team		
2951	What types of surgery are commonly used to treat breast cancer?	Common surgical procedures for breast cancer include lumpectomy (removal of the tumor and a small margin of surrounding tissue), mastectomy (removal of the entire breast), and lymph node dissection (removal of lymph nodes in the armpit). The type of surgery depends on the stage and location of the cancer.	SURGERY_PROCEDURES	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common breast cancer surgeries.	All	2025-12-11	Healthcare AI Team		
2952	What is the role of medication in breast cancer treatment?	Medication plays a crucial role in breast cancer treatment. It can be used to shrink tumors before surgery (neoadjuvant therapy), kill cancer cells after surgery (adjuvant therapy), or manage symptoms and side effects. Common medications include chemotherapy, hormone therapy, and targeted therapy.	MEDICATION	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common breast cancer medications.	All	2025-12-11	Healthcare AI Team		
2953	How can I prepare my body for breast cancer surgery?	To prepare your body for breast cancer surgery, follow any pre-surgery instructions provided by your healthcare team. This may include avoiding certain medications, eating a healthy diet, staying hydrated, and engaging in light physical activity. It's also important to discuss any concerns or questions with your surgeon.	PRE_SURGERY_PREHAB	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on preparing for surgery.	All	2025-12-11	Healthcare AI Team		
2954	What should I expect during the recovery period after breast cancer surgery?	During the recovery period after breast cancer surgery, you may experience pain, swelling, and limited arm movement. It's important to follow your healthcare team's instructions for wound care, physical activity, and any prescribed medications. Gradual return to normal activities is typically recommended.	POST_SURGERY_RECOVERY	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common post-surgery recovery experiences.	All	2025-12-11	Healthcare AI Team		
2955	What follow-up care is needed after breast cancer treatment?	Follow-up care after breast cancer treatment typically includes regular check-ups with your healthcare team, imaging tests to monitor for recurrence, and discussions about any ongoing symptoms or side effects. Lifestyle changes, such as a healthy diet and regular exercise, are also important.	FOLLOW_UP_CARE	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common follow-up care practices.	All	2025-12-11	Healthcare AI Team		
2956	How can I maintain a healthy lifestyle during and after breast cancer treatment?	Maintaining a healthy lifestyle during and after breast cancer treatment involves eating a balanced diet rich in fruits, vegetables, and whole grains, staying physically active, avoiding tobacco and excessive alcohol, and managing stress. These habits can help improve your overall well-being and reduce the risk of recurrence.	LIFESTYLE	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on maintaining a healthy lifestyle.	All	2025-12-11	Healthcare AI Team		
2957	What nutritional guidelines should I follow during breast cancer treatment?	During breast cancer treatment, it's important to follow nutritional guidelines that support your overall health. This includes eating a variety of nutrient-dense foods, staying hydrated, and possibly taking supplements if recommended by your healthcare team. Avoiding processed foods and excessive sugar can also be beneficial.	NUTRITION	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on nutrition during cancer treatment.	All	2025-12-11	Healthcare AI Team		
2958	How can I care for my surgical drains and wounds after breast cancer surgery?	Caring for surgical drains and wounds after breast cancer surgery involves keeping the area clean and dry, following your healthcare team's instructions for dressing changes, and monitoring for signs of infection such as redness, swelling, or unusual discharge. It's important to avoid strenuous activities that could strain the incision site.	DRAINS_WOUND_CARE	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on wound and drain care post-surgery.	All	2025-12-11	Healthcare AI Team		
2959	What are the red flags I should watch for after breast cancer surgery?	Red flags to watch for after breast cancer surgery include signs of infection such as increased redness, swelling, warmth, or discharge from the incision site; sudden severe pain; fever; or any unusual changes in your breast or armpit. If you experience any of these symptoms, contact your healthcare team immediately.	SAFETY_RED_FLAGS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General knowledge based on common post-surgery red flags.	All	2025-12-11	Healthcare AI Team		
2960	What administrative steps should I take to manage my breast cancer treatment?	To manage your breast cancer treatment administratively, keep detailed records of your appointments, test results, and medications. Communicate regularly with your healthcare team about any changes in your condition or concerns. It's also helpful to understand your insurance coverage and any financial assistance programs available.	ADMIN_LOGISTICS	Breast Cancer	All Stages	bcn001-tlc-infographic-all-skintones-web.pdf	N/A - General advice on managing treatment administratively.	All	2025-12-11	Healthcare AI Team		
2961	What should I do if I experience new, persistent symptoms?	If you experience new, persistent symptoms that don't have an obvious cause, it's important to inform your breast care nurse or GP. Early detection and intervention can be crucial for managing secondary breast cancer.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Tell your breast care nurse or GP if you have symptoms that are new, don’t have an obvious cause and don’t go away.	All	2025-12-11	Healthcare AI Team		
2962	Can severe or ongoing headaches be a sign of secondary breast cancer?	Yes, severe or ongoing headaches can be a possible sign of secondary breast cancer. If you experience this symptom, it's important to seek medical advice.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Severe or ongoing headaches	All	2025-12-11	Healthcare AI Team		
2963	Is a dry cough a symptom I should be concerned about?	A dry cough can be a symptom of secondary breast cancer, especially if it persists without an obvious cause. You should discuss this symptom with your healthcare provider.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	A dry cough	All	2025-12-11	Healthcare AI Team		
2964	What does feeling out of breath indicate?	Feeling out of breath can be a symptom of secondary breast cancer. If this sensation is new and persistent, it’s important to consult your healthcare provider.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Feeling out of breath	All	2025-12-11	Healthcare AI Team		
2965	Could constipation be related to secondary breast cancer?	Yes, constipation can be a symptom of secondary breast cancer. If you’re experiencing persistent constipation without an obvious cause, seek medical advice.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Not being able to go to the toilet (constipation)	All	2025-12-11	Healthcare AI Team		
2966	Is feeling sick most of the time a symptom to worry about?	Yes, feeling sick most of the time can be a sign of secondary breast cancer. Persistent nausea should be evaluated by a healthcare professional.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Feeling sick most of the time	All	2025-12-11	Healthcare AI Team		
2967	What does discomfort or swelling under the ribs mean?	Discomfort or swelling under the ribs or across the upper abdomen can be a sign of secondary breast cancer. It’s important to have this checked by a healthcare provider.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Discomfort or swelling under the ribs or across the upper abdomen	All	2025-12-11	Healthcare AI Team		
2968	Should I be concerned about loss of balance or limb weakness?	Yes, loss of balance or any weakness or numbness of the limbs can be symptoms of secondary breast cancer and should be evaluated by a healthcare professional.	SYMPTOMS	Breast Cancer	All Stages	bcn002_possible_signs_of_secondary_breast_cancer.pdf	Loss of balance or any weakness or numbness of the limbs	All	2025-12-11	Healthcare AI Team		
